name,description,city,state
Physna,"Physna Inc. is a cloud-based, artificial intelligence platform that breaks down the structure of 3D models for Search, Comparison, Identification, and Classification. Physna’s unique capabilities enable organizations to lower procurement costs, reduce design hours, and immediately identify parts and determine where they can be used (or reused). Physna can scale with the data needs of any enterprise and integrate with any systems, tools, or workflow to accelerate all phases of product development",Columbus,OH
Cosmic Aerospace,"Airlines and Aviation / Electric Ground Support Equipment (eGSE) Solutions Founded in 2004, Averest, Inc. specializes in providing industrial batteries and chargers specifically designed for electric-powered aviation ground support equipment (eGSE). Their products include Deka lead-acid batteries, Flux Power lithium batteries, PosiCharge chargers, onboard chargers, cable management systems, and telematics solutions. Averest's offerings aim to reduce emissions and operational costs in airport gro",Atlanta,GA
Vector,"Vector is a premiere 21st Century Defense Technology Company aimed at ensuring America's Warfighters are equipped with the most relevant technology at the speed of which is changes on the battlefield. We focus on training, integration and product development across a variety of technologies with a focus on the s-UAS and Counter s-UAS capabilities spectrum. Our team is made up of industry leaders and special operations veterans with unique access to kinetic environments across the globe, where we",,
The Candy Bomber: Gail S. Halvorsen Aviation Education Foundation,"The Candy Bomber: Gail S. Halvorsen Aviation Education Foundation The Candy Bomber legacy lives on! Visit our site to learn how you can be a part of his legacy of attitude, gratitude and service before self. Colonel Gail S. Halvorsen was chosen to be honored posthumously as one of two recipients of the Pillar of the Valley Award. Since 2011, this award has been given by the Utah Valley Chamber of Commerce to individuals who have “made extraordinary contributions to the business, civic, social, e",Spanish Fork,UT
Arctech Charge,"Arctech Charge's patented technology provides comprehensive Battery Care and modular micro-BESS capabilities for swappable battery-powered systems. It simplifies battery fleet charging, transport, storage, maintenance, and management to enable operations with fewer batteries in the short and long term. Unique hardware and software collect and utilize unprecedented data for machine learning models providing lifecycle predictions, warnings, and dynamic Battery Care Profiles (BCPs), ensuring batter",Draper,UT
The Honor Foundation,The Honor Foundation (THF) is a career transition program for U.S. Special Operations Forces that effectively translates their elite military service to the private sector and helps create the next generation of corporate and community leaders. We provide a clear process for professional development and a diverse ecosystem of world class support and technology. Every step is dedicated to preparing these outstanding men and women to continue to realize their maximum potential during and after the,San Diego,CA
Black Sea Strategies (B2S),"Black Sea Strategies is a consulting firm specializing in defense, aerospace, cybersecurity, energy, and critical infrastructure. The company facilitates market entry and strategic partnerships for US& international firms, connecting them with key stakeholders in Romania, including government authorities, defense institutions, and academic organizations. With deep expertise in regional security and geopolitical dynamics, Black Sea Strategies provides tailored advisory services to help clients na",,
BZI,"The BZI group of companies has developed revolutionary processes and proprietary technologies that maximize project safety and efficiency by synchronizing steel fabrication, steel erection, and wall erection in a single and seamless workflow. The BZI group of companies operates through three primary organizations: Building Zone Industries, LLC is responsible for steel erection, while BZI Steel, LLC specializes in steel fabrication, and Innovatech, LLC specializes in designing, engineering, and m",Cedar City,UT
Pelion Venture Partners,"Since 1986, Pelion Venture Partners has been helping entrepreneurs turn early-stage concepts into tomorrow’s industry-leading companies. The Pelion team has deep and diverse industry and investment experience. We are hands-on in our approach and work collaboratively on each portfolio company over the life of an investment. Our company partners benefit from our insights and our abilities to focus strategically and tactically on success. We can tap into and leverage a vast network of technology ex",,
MKS Instruments,"MKS Instruments enables technologies that transform our world. We deliver foundational technology solutions to leading edge semiconductor manufacturing, electronics and packaging, and specialty industrial applications. We apply our broad science and engineering capabilities to create instruments, subsystems, systems, process control solutions and specialty chemicals technology that improve process performance, optimize productivity and enable unique innovations for many of the world’s leading te",,
